Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12,Station13,Station14,Station15,Station16,Station17,Station18,Station19,Station20,Station21,Station22,Station23,Station24,Station25,Station26,Station27,Station28,Station29,Station30,Station32
15,18.83333333,18.83333333,15.33333333,15.66666667,17,17.33333333,12.16666667,15.83333333,16,17.5,16.33333333,15.16666667,17.16666667,15,17.33333333,19.5,18.83333333,14.66666667,17,17.83333333,19.33333333,16.5,15.16666667,12.5,18.5,17.33333333,17,17.66666667,14,20.83333333
14,19.16666667,18.33333333,14.83333333,15,15.83333333,16.83333333,11.83333333,15,15,16.16666667,17.83333333,16.33333333,16.16666667,15.4,16.66666667,16.83333333,17.66666667,17.83333333,16,14.16666667,18.5,16,15.16666667,12,17.83333333,16.5,16,17.16666667,14.16666667,19.33333333
14.33333333,18.16666667,17.33333333,14.16666667,14.33333333,15.83333333,15.33333333,11.5,14.5,14.33333333,15.83333333,17.66666667,14.83333333,18,13.16666667,17.83333333,17.66666667,16.66666667,13,14.16666667,15,16.33333333,16.16666667,12.5,11.5,16.5,15.66666667,15.5,17.83333333,15.66666667,18.33333333
11.66666667,16.16666667,15.16666667,12,14,14.83333333,14,9.333333333,12.66666667,11.83333333,14.83333333,14.33333333,14.66666667,14,12,15.66666667,13.83333333,14.83333333,14,13,14.16666667,16.33333333,14.5,12.83333333,9.666666667,16.16666667,13.83333333,14.66666667,16.16666667,13,14.83333333
10.5,12.16666667,11.5,10.16666667,10.33333333,11.66666667,11.16666667,8.333333333,10.33333333,10.33333333,11.16666667,11.33333333,11.83333333,12.5,8.333333333,13.16666667,12.66666667,12.33333333,10.83333333,10.5,10.83333333,11.66666667,11.66666667,9.666666667,9.333333333,11.5,11.83333333,11.33333333,12.66666667,9,11.83333333
9.166666667,12.16666667,11,9,10.16666667,10.16666667,12.33333333,8.833333333,9.5,8.333333333,11.83333333,14.16666667,11,12,9.166666667,12.33333333,12,13,10.83333333,10,10,12.66666667,11.16666667,9,7.833333333,10.5,11.5,12.16666667,11.16666667,9.5,12
10.33333333,13,14,9.166666667,9.666666667,10.16666667,11,9.166666667,11.16666667,17.66666667,11.83333333,13.5,9.666666667,11.33333333,9.666666667,11.16666667,12.5,12.5,11,10.83333333,11,13.33333333,10,9.666666667,7.5,11.66666667,10.83333333,11.5,12.16666667,10,12.16666667
9.666666667,15.33333333,15,11.66666667,10.66666667,11,12,7.666666667,11.16666667,17,11.16666667,9.833333333,11.66666667,14.16666667,11,15.66666667,13.83333333,14.33333333,12.83333333,12.33333333,11.33333333,13.66666667,11.66666667,11.16666667,8.166666667,11.66666667,12,12,12.83333333,10.16666667,12
10.83333333,15.83333333,16,12.33333333,12.5,11.83333333,13.33333333,9.666666667,13.83333333,11.83333333,13.66666667,10.83333333,12.83333333,15.16666667,10.5,14.66666667,15.83333333,15.16666667,12.83333333,14.16666667,12,18.83333333,13.66666667,13.33333333,8.833333333,12.33333333,11,14.16666667,15.16666667,12.33333333,16
13.66666667,19,17.16666667,13,13.5,13.5,15.16666667,12,14,12.66666667,14.16666667,11.5,12.16666667,15.33333333,10.66666667,18.5,17.5,16,15.5,13.66666667,13.66666667,16.5,15.16666667,15.16666667,9,14.16666667,13.66666667,15.16666667,16.16666667,13.16666667,16.5
15.66666667,16.5,18.66666667,12.66666667,13.83333333,16.16666667,14.83333333,11.16666667,14.83333333,14,15,14.33333333,13.83333333,14.5,11.66666667,17.33333333,20.16666667,17.16666667,17.16666667,13.66666667,12.5,15.33333333,16.33333333,14.66666667,10.33333333,14.33333333,13.83333333,15.16666667,17.33333333,12.5,17.5
16.83333333,24.16666667,20.83333333,21.33333333,17.33333333,19.83333333,18.5,16.5,16,17.5,21.66666667,20.5,21,23,15.5,20.83333333,22.16666667,22.33333333,18.5,16.83333333,16.83333333,22.5,19.16666667,20,16.83333333,19.5,18.33333333,18.16666667,21.66666667,20.33333333,20.83333333
23.33333333,26.66666667,28.16666667,23.66666667,20,24.33333333,19,22,20,18.5,19.33333333,23.66666667,22.66666667,25.33333333,21,33.66666667,30,22.66666667,21,18.16666667,24.66666667,24.33333333,27.16666667,24.5,19.33333333,25.5,23.83333333,20.16666667,24,21.16666667,21.5
18.5,18,20.5,14.33333333,14,20,13.83333333,13.33333333,12.5,12,11.66666667,15,15,16.16666667,14.5,25.66666667,22.5,13.5,14.66666667,15.33333333,17.83333333,16.83333333,17.16666667,16.5,13.33333333,18.5,17.33333333,13.16666667,20.33333333,14.83333333,16.16666667
9.833333333,8.5,9.166666667,7.833333333,7.833333333,8,8,6.833333333,7.5,7.333333333,8.333333333,8.333333333,9.333333333,8.833333333,8.5,13.16666667,11,9,8.5,8.5,10,7.833333333,9.166666667,7.833333333,7,8.5,8.5,7,8.5,7,8.5
7.5,8.833333333,9.5,8,7.166666667,8.166666667,7.833333333,7.5,6.666666667,6.666666667,7.333333333,8.666666667,6.833333333,8.833333333,7,9.166666667,8.166666667,8.166666667,7.166666667,7.166666667,7.666666667,8.333333333,8.166666667,8,7.166666667,8.5,7.5,7.166666667,7.666666667,7,7.833333333
6.666666667,8.5,8.666666667,7.333333333,5.666666667,7.833333333,7.333333333,6,6.5,6.333333333,8.666666667,7.5,7.666666667,7.833333333,6.5,7.333333333,8.833333333,8.5,6.666666667,7.666666667,7.666666667,9.333333333,7,7,8.333333333,7.333333333,7.5,7.166666667,7.666666667,7,7.166666667
7.666666667,9.333333333,10.33333333,7.5,8.666666667,8.333333333,9.333333333,8.333333333,8,8,9.333333333,8,8.833333333,8.666666667,7.166666667,11.33333333,9.5,10,8,8.166666667,7.833333333,9.666666667,9.5,8.833333333,8.166666667,10,8.666666667,7.5,8.5,8.333333333,7
9,12.66666667,10.66666667,9.833333333,10,10,9.833333333,9.5,9.166666667,7.833333333,9.833333333,11.16666667,10.66666667,12.16666667,8.833333333,11.33333333,11.5,11.16666667,8.666666667,9.166666667,9.333333333,10.66666667,11.83333333,9,7.833333333,10.33333333,9.666666667,8,9.5,9.666666667,8.5
10.5,13,14,13.16666667,10.5,11.33333333,11.16666667,9,8.166666667,9.5,12,13.33333333,13.16666667,12.5,10,14.5,14.33333333,12,11.16666667,11.66666667,12.66666667,16.66666667,13.16666667,11.66666667,8.833333333,12.66666667,12.16666667,10.5,12,10.83333333,9.333333333
